"Cu, TDDFT b=1, l=0, April 2026, Linear elastic below 100 eV"
"E_beam (eV)","Sample tilt (deg)","BSEY","SEY"
1000.,87.,1.031,1.355
1500.,87.,1.032,1.273
2000.,87.,1.037,1.189
3500.,87.,1.022,1.001
5000.,87.,1.022,0.88
8000.,87.,1.017,0.789
10000.,87.,1.002,0.754
15000.,87.,0.988,0.68
20000.,87.,0.986,0.65
29975.,87.,0.972,0.589
50.,88.,0.458,0.207
75.,88.,0.442,0.316
100.,88.,0.48,0.403
125.,88.,0.519,0.494
150.,88.,0.557,0.577
175.,88.,0.594,0.645
200.,88.,0.627,0.709
250.,88.,0.696,0.826
300.,88.,0.753,0.912
350.,88.,0.805,1.001
400.,88.,0.854,1.051
500.,88.,0.909,1.158
800.,88.,1.007,1.323
1000.,88.,1.032,1.331
1500.,88.,1.046,1.262
2000.,88.,1.04,1.169
3500.,88.,1.043,0.963
5000.,88.,1.025,0.88
8000.,88.,1.033,0.779
10000.,88.,1.031,0.739
15000.,88.,1.023,0.69
20000.,88.,1.01,0.643
29975.,88.,1.,0.589
50.,89.,0.667,0.13
75.,89.,0.658,0.198
100.,89.,0.666,0.262
125.,89.,0.679,0.325
150.,89.,0.703,0.383
175.,89.,0.722,0.44
200.,89.,0.752,0.487
250.,89.,0.787,0.575
300.,89.,0.822,0.656
350.,89.,0.858,0.733
400.,89.,0.882,0.802
500.,89.,0.924,0.901
800.,89.,1.001,1.109
1000.,89.,1.027,1.137
1500.,89.,1.042,1.131
2000.,89.,1.044,1.084
3500.,89.,1.034,0.928
5000.,89.,1.031,0.841
8000.,89.,1.045,0.76
10000.,89.,1.037,0.71
15000.,89.,1.027,0.657
20000.,89.,1.033,0.628
29975.,89.,1.016,0.593
