"Sampler for uncoated CuFPA substrate"
"theta = sampler[T,r] with r uniform on [0,1]; Interpolate this tabulation to obtain sampler."
"beamE (eV)","r","theta (deg)"
75,0.01708984375,7.266279474486092
75,0.017333984375,7.316853188163877
75,0.0174560546875,7.34214004500277
75,0.017578125,7.367426901841663
75,0.01953125,7.772016611263946
75,0.021484375,8.155690535738346
75,0.0224609375,8.334027269014417
75,0.022705078125,8.378611452333434
75,0.02294921875,8.423195635652453
75,0.0234375,8.512364002290488
75,0.02734375,9.20156738810011
75,0.0283203125,9.360828034758152
75,0.02880859375,9.440458358087174
75,0.029296875,9.520088681416196
75,0.03125,9.838609974732282
75,0.03515625,10.428711467031775
75,0.035400390625,10.464597358864955
75,0.03564453125,10.500483250698135
75,0.0361328125,10.572255034364494
75,0.037109375,10.715798601697212
75,0.0390625,11.00268944562361
75,0.041015625,11.270248619744288
75,0.0419921875,11.404028206804629
75,0.04248046875,11.4709180003348
75,0.042724609375,11.504362897099885
75,0.04296875,11.53780779386497
75,0.046875,12.067313298815188
75,0.05078125,12.561245656077993
75,0.0546875,13.05156972055105
75,0.05859375,13.513202028293662
75,0.0595703125,13.628610105229315
75,0.060546875,13.744018182164966
75,0.0625,13.974834336036272
75,0.06640625,14.40314374949666
75,0.068359375,14.616337795461867
75,0.0703125,14.829531841427077
75,0.078125,15.64456929017042
75,0.0859375,16.42989978385644
75,0.08984375,16.814559834532112
75,0.09375,17.189277455649894
75,0.09765625,17.554740349106094
75,0.099609375,17.737471795834196
75,0.1015625,17.920203242562298
75,0.109375,18.62034106602657
75,0.111328125,18.794432245084177
75,0.11328125,18.968523424141786
75,0.1171875,19.302349832056755
75,0.125,19.967149045705675
75,0.1328125,20.599325506103007
75,0.13671875,20.91456581199762
75,0.140625,21.22361493337196
75,0.1484375,21.837109827636155
75,0.150390625,21.990483551202203
75,0.15234375,22.13816574272439
75,0.15625,22.432777113126704
75,0.1640625,23.0212501679656
75,0.171875,23.590394047299114
75,0.1796875,24.155745782610975
75,0.1875,24.711361370553046
75,0.1953125,25.25550099804158
75,0.203125,25.78723354172944
75,0.2109375,26.31205554532056
75,0.21875,26.83226787030214
75,0.234375,27.857691866640916
75,0.23828125,28.109560621178172
75,0.2421875,28.356699721094152
75,0.25,28.850977920926105
75,0.2578125,29.34072332204717
75,0.265625,29.82851224203059
75,0.2734375,30.311282329540305
75,0.28125,30.791331376371385
75,0.2890625,31.267559530460826
75,0.296875,31.74084974075895
75,0.3125,32.670497645827886
75,0.328125,33.59056971424855
75,0.34375,34.497670264195754
75,0.359375,35.391131862950544
75,0.375,36.275452512115315
75,0.4375,39.73229480498331
75,0.5,43.117030151352644
75,0.53125,44.80072748428673
75,0.5625,46.49112293614482
75,0.59375,48.19784528202425
75,0.625,49.92424459547986
75,0.640625,50.7958327328502
75,0.65625,51.67869434680727
75,0.671875,52.57098727899501
75,0.6875,53.47667926565875
75,0.703125,54.39795243479406
75,0.71875,55.330492298499536
75,0.734375,56.273187804712904
75,0.75,57.234342548576166
75,0.7578125,57.7230545010846
75,0.765625,58.215405086615654
75,0.78125,59.21455900725578
75,0.7890625,59.72337270554035
75,0.796875,60.241251747466166
75,0.8125,61.30699491838621
75,0.81640625,61.57875659262396
75,0.8203125,61.85051826686171
75,0.828125,62.407080217944646
75,0.84375,63.550380581401754
75,0.859375,64.73764988094563
75,0.8671875,65.35091406433953
75,0.875,65.9742318106899
75,0.8828125,66.6318025689301
75,0.890625,67.30739993093015
75,0.8984375,68.00414701665285
75,0.90234375,68.36998870664041
75,0.90625,68.73583039662797
75,0.9140625,69.48784046254237
75,0.921875,70.26857086447339
75,0.9296875,71.09068138086568
75,0.9375,71.96703012496897
75,0.939453125,72.20147424016754
75,0.94140625,72.43863876881383
75,0.9453125,72.91296782610644
75,0.947265625,73.16071519552604
75,0.94921875,73.41459746931044
75,0.953125,73.92236201687926
75,0.955078125,74.19374794082763
75,0.95703125,74.4728444583553
75,0.9609375,75.03402966420066
75,0.96484375,75.64603532106115
75,0.966796875,75.9520381494914
75,0.96875,76.28740987511266
75,0.97265625,76.96907086873955
75,0.9765625,77.71246608049057
75,0.9775390625,77.899048436619
75,0.978515625,78.09875871301415
75,0.98046875,78.52913271216063
75,0.9814453125,78.74431971173387
75,0.982421875,78.95950671130713
75,0.984375,79.4480859958894
75,0.9853515625,79.69539825941239
75,0.986328125,79.94271052293534
75,0.98828125,80.51442135989012
75,0.98876953125,80.6598735834478
75,0.9892578125,80.8053258070055
75,0.990234375,81.11601686705086
75,0.9912109375,81.4667363250199
75,0.99169921875,81.64209605400438
75,0.9921875,81.81745578298889
75,0.994140625,82.62887238078035
75,0.9951171875,83.0710939153789
75,0.99560546875,83.35128342307894
75,0.995849609375,83.49137817692899
75,0.99609375,83.63147293077901
75,0.9970703125,84.2574740323154
75,0.997314453125,84.44548755992545
75,0.99755859375,84.63350108753555
75,0.998046875,85.01331972299444
75,0.998291015625,85.2761503890737
75,0.9984130859375,85.40756572211338
75,0.99853515625,85.53898105515297
75,0.9990234375,86.1035429588106
75,0.9991455078125,86.31404156478621
75,0.999267578125,86.52454017076178
75,0.99951171875,86.9455373827132
75,0.9996337890625,87.28655207268537
75,0.999755859375,87.67312194253797
75,0.9998779296875,88.155781071361
75,0.9998855590820312,88.21883438854735
75,0.9998931884765625,88.28188770573344
75,0.999908447265625,88.4079943401059
75,0.99993896484375,88.66020760885135
75,0.999969482421875,88.91242087759659
75,0.9999847412109375,89.23401896159194
75,0.9999866485595703,89.32976659138866
75,0.9999885559082031,89.42551422119428
75,0.9999923706054688,89.6170094807956
75,1.,90.
100,0.,0.
100,0.000244140625,0.7864047181372549
100,0.0003662109375,1.0553806586305925
100,0.00037384033203125,1.0629582433919664
100,0.0003743171691894531,1.0634318424395524
100,0.00037479400634765625,1.0639054414871383
100,0.0003757476806640625,1.06485263958231
100,0.000377655029296875,1.0667470357726534
100,0.0003814697265625,1.0705358281533404
100,0.000396728515625,1.0856909976760885
100,0.00042724609375,1.1160013367215842
100,0.00048828125,1.1766220148125757
100,0.0009765625,1.6615874395405077
100,0.001220703125,1.904070151904474
100,0.0013427734375,2.0158220840419503
100,0.00140380859375,2.0537157354261146
100,0.0014190673828125,2.063189148272156
100,0.00142669677734375,2.0679258546951766
100,0.001430511474609375,2.070294207906687
100,0.001434326171875,2.0726625611181975
100,0.00146484375,2.09160938681028
100,0.001953125,2.3947585978835977
100,0.0029296875,3.0007381565056743
100,0.003173828125,3.1065883560965952
100,0.003204345703125,3.1198196310454605
100,0.00321197509765625,3.1231274497826766
100,0.0032196044921875,3.1264352685198933
100,0.00323486328125,3.1330509059943257
100,0.0032958984375,3.159513455892056
100,0.00341796875,3.2124385556875166
100,0.00390625,3.424138954869359
100,0.0048828125,3.8475397532330433
100,0.00537109375,4.046704314918852
100,0.005615234375,4.1301555022367875
100,0.00567626953125,4.151018299066272
100,0.005706787109375,4.161449697481014
100,0.0057220458984375,4.166665396688384
100,0.0057373046875,4.171881095895755
100,0.005859375,4.213606689554723
100,0.0078125,4.881216188098211
100,0.0087890625,5.173679096638655
100,0.0089111328125,5.207382155987395
100,0.00897216796875,5.224233685661765
100,0.009033203125,5.241085215336135
100,0.00927734375,5.308491334033613
100,0.009765625,5.443303571428571
100,0.01171875,5.982552521008404
100,0.0126953125,6.21642191331314
100,0.0128173828125,6.245346362054666
100,0.012939453125,6.274270810796192
100,0.01318359375,6.332119708279245
100,0.013671875,6.447817503245348
100,0.015625,6.910608683109765
100,0.0166015625,7.122972223957032
100,0.01708984375,7.223163681926056
100,0.017333984375,7.273259410910567
100,0.0174560546875,7.298307275402823
100,0.017578125,7.323355139895079
100,0.01953125,7.724120971771171
100,0.021484375,8.109619970397983
100,0.0224609375,8.285507003069839
100,0.022705078125,8.329478761237803
100,0.02294921875,8.373450519405766
100,0.0234375,8.461394035741694
100,0.02734375,9.149190549385164
100,0.0283203125,9.308280754165013
100,0.02880859375,9.387825856554938
100,0.029296875,9.467370958944862
100,0.03125,9.785551368504562
100,0.03515625,10.379803829673271
100,0.035400390625,10.415606936819318
100,0.03564453125,10.451410043965364
100,0.0361328125,10.523016258257455
100,0.037109375,10.666228686841636
100,0.0390625,10.95265354401
100,0.041015625,11.223272717799084
100,0.0419921875,11.357017246769487
100,0.04248046875,11.423889511254691
100,0.042724609375,11.457325643497292
